Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,UN-1,10076,Epic,In Progress,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Highest,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 10:42 AM,01/Apr/26 12:36 PM,01/Apr/26 10:53 AM,,15/Apr/26 12:00 AM,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@79ead4e,,,,,ghx-label-11,,To Do,,,,teal,,,,,0|i0002f:,,,UN Sprint 1,01/Apr/26 12:00 AM,,,,,,,,,,,,,,In Progress,01/Apr/26 12:36 PM
USER SHOULD BE ABLE TO REGISSTER TO THE APPLICATION,UN-2,10077,Story,In Progress,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 10:46 AM,01/Apr/26 12:37 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@441c835b,,,,,,,,,,,,,,,,0|i0002n:,,,UN Sprint 1,,,,,,,,,,,,10076,UN-1,USER MANAGEMENT,In Progress,01/Apr/26 12:37 PM
WRITE INTEGRATION TEST CASE FOR REGISTRATION MODULE,UN-28,10111,Task,In Progress,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:38 PM,02/Apr/26 9:50 AM,01/Apr/26 12:47 PM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f1488e7,,,,,,,,,,,,,,,,0|i0002p:,,,UN Sprint 1,,,,,,,,,,,,,,,In Progress,02/Apr/26 9:50 AM
WRITE TEST CASE FOR ,UN-30,10114,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:43 PM,01/Apr/26 2:10 PM,02/Apr/26 9:46 AM,01/Apr/26 2:10 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39260c1d,,,,,,,,,,,,,,,,0|i0008f:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_5240006,10111,UN-28,WRITE INTEGRATION TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 2:10 PM
WRITE SYSTEM TEST CASES FOR REGISTRATION MODULE,UN-29,10112,Task,In Progress,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:39 PM,02/Apr/26 9:50 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@80b33db,,,,,,,,,,,,,,,,0|i0002q:,,,UN Sprint 1,,,,,,,,,,,,,,,In Progress,02/Apr/26 9:50 AM
WRITE FUNCTIONAILTY TEST CASES FOR SOCIAL LOGIN,UN-31,10115,Task,In Progress,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,High,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 2:12 PM,02/Apr/26 9:50 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16f9f2e6,,,,,,,,,,,,,,,,0|i0002q:i,,,UN Sprint 1,,,,,,,,,,,,,,,In Progress,02/Apr/26 9:50 AM
WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,UN-32,10116,Task,In Progress,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 2:13 PM,02/Apr/26 9:50 AM,02/Apr/26 9:47 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a4e94c0,,,,,,,,,,,,,,,,0|i0002q:r,,,UN Sprint 1,,,,,,,,,,,,,,,In Progress,02/Apr/26 9:50 AM
WRITE TEST CASES FOR EMAIL TEXT FIELD,UN-33,10151,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:48 AM,02/Apr/26 9:48 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50f26923,,,,,,,,,,,,,,,,0|i0009b:,,,UN Sprint 1,,,,,,,,,,,,10116,UN-32,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,02/Apr/26 9:48 AM
WRITE TEST CASES FOR MOBILE NUMBER TEXT FIELD,UN-34,10153,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:48 AM,02/Apr/26 9:48 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a42cfba,,,,,,,,,,,,,,,,0|i0009j:,,,UN Sprint 1,,,,,,,,,,,,10116,UN-32,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,02/Apr/26 9:48 AM
WRITE TEST CASES FOR PASSWORD TEXT FIELD,UN-35,10155,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:48 AM,02/Apr/26 9:48 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74d80752,,,,,,,,,,,,,,,,0|i0009r:,,,UN Sprint 1,,,,,,,,,,,,10116,UN-32,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,02/Apr/26 9:48 AM
WRITE TEST CASES FOR LOGIN BUTTON,UN-36,10157,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:49 AM,02/Apr/26 9:49 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@89b36e4,,,,,,,,,,,,,,,,0|i0009z:,,,UN Sprint 1,,,,,,,,,,,,10116,UN-32,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,02/Apr/26 9:49 AM
WRITE TEST CASES FOR FORGOT PASSWORD LINK,UN-37,10159,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:49 AM,02/Apr/26 9:49 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@10ba6f71,,,,,,,,,,,,,,,,0|i000a7:,,,UN Sprint 1,,,,,,,,,,,,10116,UN-32,WRITE FUNCTIONALITY TEST CASES FOR LOGIN MODULE,To Do,02/Apr/26 9:49 AM
